,precision,recall,f1-score,support
airplane,0.3138801261829653,0.398,0.35097001763668434,1000.0
automobile,0.36339285714285713,0.407,0.38396226415094337,1000.0
bird,0.25188536953242835,0.167,0.20084185207456404,1000.0
cat,0.225,0.153,0.18214285714285713,1000.0
deer,0.24700239808153476,0.206,0.22464558342420937,1000.0
dog,0.29780033840947545,0.352,0.32263978001833177,1000.0
frog,0.28860294117647056,0.314,0.30076628352490414,1000.0
horse,0.3090128755364807,0.288,0.2981366459627329,1000.0
ship,0.3593898951382269,0.377,0.3679843826256711,1000.0
truck,0.38260135135135137,0.453,0.41483516483516486,1000.0
accuracy,0.3115,0.3115,0.3115,0.3115
macro avg,0.30385681525517905,0.3115,0.3046924831396063,10000.0
weighted avg,0.30385681525517905,0.3115,0.3046924831396063,10000.0
