Decade,TotalFaces,PagesWithFaces,TotalPages,PercentageWithFaces
1790,3,3,20,15.0
1800,10,9,36,25.0
1810,2,2,26,7.6923076923076925
1820,1,1,32,3.125
1830,2,2,36,5.555555555555555
1840,0,0,24,0.0
1850,2,2,24,8.333333333333332
1860,1,1,24,4.166666666666666
1870,1,1,24,4.166666666666666
1880,1,1,24,4.166666666666666
1890,1,1,26,3.8461538461538463
1900,4,4,28,14.285714285714285
1910,4,4,30,13.333333333333334
1920,8,6,28,21.428571428571427
1930,8,6,28,21.428571428571427
1940,10,8,38,21.052631578947366
1950,8,8,48,16.666666666666664
1960,25,19,90,21.11111111111111
1970,14,11,78,14.102564102564102
1980,60,44,136,32.35294117647059
1990,115,74,208,35.57692307692308
